Unnamed: 0,Freqs,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,Electrode_Distance,Genotype,Brain_State
33,17.528,0.03304325611240064,0.01295104500194993,0.00395129304219631,0.01725535428620431,0.008558703681206667,0.006546856076641214,0.002281733058177002,0.02757826513316688,0.01199308473749099,0.00513928680435149,0.005289097003829422,0.0061039669037935,0.002346270536966556,0.01731931365556451,0.008358464045713497,0.001518817558609485,0.003715555369604761,0.001503310777788173,Long,KO,wake
34,18.0288,0.03269727344799704,0.01291378479926257,0.003063827496047507,0.01785805869562598,0.007969011434654014,0.007493114396135135,0.00254846541175426,0.025462677485468,0.01015879520148873,0.005061988256630605,0.004460769035541607,0.006776006844584189,0.002173497415972486,0.01657977254915342,0.007206507076829492,0.001811929728301158,0.004098645131847156,0.001625359299046689,Long,KO,wake
35,18.5296,0.03411098663380371,0.0128060194199652,0.002729010629364475,0.01862672985571131,0.007987515046619419,0.00535668975045609,0.002411238155176597,0.02245029168170053,0.01027653648351098,0.004622205242978856,0.004223938141749247,0.005331310370016548,0.002113378674811092,0.01665659310906917,0.006767224188840465,0.00247662214706656,0.004980217148154927,0.001815514539635513,Long,KO,wake
36,19.0304,0.03462802764039648,0.01299132089332049,0.002296904974264862,0.01951046736947122,0.00833093084205228,0.003494635013999511,0.002647480525449436,0.02119177442725033,0.009203870169839742,0.004215313779511934,0.003996553568320885,0.003400324179845072,0.002143208421923783,0.01682784518434909,0.007827181855459591,0.003134909180415979,0.005980404856963865,0.001691416091182369,Long,KO,wake
37,19.5312,0.03490884987367417,0.01285340871563111,0.002294120683130065,0.02043588739271473,0.008863305488481228,0.002770935045454901,0.002981079319789257,0.01919609902905448,0.008194111679129212,0.004078856704389474,0.004107300367775926,0.003042663458399636,0.002616326376987912,0.01629360870216431,0.009392150114250578,0.00376663172223108,0.006576113894617345,0.001804002261852911,Long,KO,wake
38,20.032,0.03359416364113519,0.0133491332192766,0.002246901522001928,0.02119341363871718,0.0085077361886973,0.002419891056653105,0.003214191708658003,0.01911671093344644,0.008653545153144176,0.004586545677644225,0.00422551042242569,0.002757745590137127,0.00266079421675399,0.0170914628075018,0.01315124532633069,0.004443809022781619,0.006847762460291595,0.001797582638352291,Long,KO,wake
39,20.5328,0.03327735376676807,0.01289899562101328,0.002052998170888077,0.02281806831451447,0.008092892680955463,0.002628656843069058,0.00344073325706386,0.01905843828662002,0.005233725626558027,0.004395661687041011,0.004852483025441282,0.002391179947056294,0.00244358597134274,0.01742264896361305,0.01748215630058781,0.004717736441571286,0.006580999334243578,0.002017918100450161,Long,KO,wake
40,21.0336,0.03576412868465016,0.01188163869252412,0.002033449191533882,0.02392348419144158,0.008755623250917296,0.002750236724541803,0.003679599981780113,0.01874468357950424,0.003225008882222049,0.00444000953742785,0.005166816849188209,0.002323500678109724,0.002244439582774253,0.01703625627300384,0.01935208317124134,0.006471762139545774,0.007078972126542535,0.002198120572465285,Long,KO,wake
41,21.5344,0.03623900039814055,0.01170535906778796,0.002319251713499299,0.02429085556426669,0.009227286183627304,0.002449336392074312,0.004222114856146621,0.0178461011681969,0.001832033792458537,0.004888315250162415,0.005211868616859843,0.002019590877301266,0.002434848121770098,0.0163035442541797,0.02221246400687483,0.007122798342934669,0.007248329868824522,0.002440905747996948,Long,KO,wake
42,22.0352,0.03657146176217415,0.01110208591274762,0.00259359576457544,0.02526716187320252,0.009290738824261967,0.002879135265122562,0.004557252510474074,0.01859503471114232,0.001498383337238115,0.004867971798013181,0.005413569602641552,0.001981204050793664,0.002109470488717712,0.01641046670565321,0.02507839425367082,0.006140893157103496,0.00681755458038412,0.002526429606049509,Long,KO,wake
43,22.536,0.03915540264705852,0.01147953422319067,0.002590325354316333,0.02741043080011781,0.009521807443014708,0.003241706483867369,0.004264706610988364,0.01922653118919084,0.002589174167791165,0.00484852623471644,0.005112231827208252,0.00200465351407823,0.002096796462220197,0.01663932393424853,0.02800030081044139,0.005180826366288824,0.007247293292325718,0.002314081119307081,Long,KO,wake
44,23.0368,0.03949326634986387,0.01188846825621266,0.002458666148906232,0.02859726796723797,0.01018495118626614,0.003450348703573994,0.004209562802176695,0.0201657855681118,0.002957751529565399,0.005333850081619116,0.005017539894158794,0.001821264170542769,0.002090117307177419,0.01689004814528301,0.0308520829946273,0.005382685513019399,0.007388519546925932,0.002529578087838156,Long,KO,wake
45,23.5376,0.03770728195984506,0.01114806618816788,0.002821939719935571,0.02897980818605753,0.01087518764593549,0.003685101241895377,0.004417709615026996,0.02071355919530231,0.004335784063137876,0.00544795319291864,0.004996342196576584,0.001690627367920948,0.00185359693713555,0.01677977019448895,0.03155521395478818,0.00586969316409673,0.007012570956063423,0.002817839282900513,Long,KO,wake
46,24.0384,0.04051858143556775,0.01133829139997925,0.003392311716790328,0.03050050854406116,0.01122390320244702,0.003821865672094652,0.004889263776849842,0.02273794195995207,0.004494981423292577,0.005599570176877746,0.004845692024528576,0.00188540008082565,0.002165117898844591,0.01681690737603015,0.03031940217502636,0.006737655426582586,0.007962414523546386,0.002910856139957869,Long,KO,wake
47,24.5392,0.04346489028922706,0.01104105184484247,0.003770672985030907,0.03153096214037048,0.01312462125112978,0.003853762302913545,0.004744103365533297,0.02345965082634738,0.004276018033147056,0.005624564774652377,0.005005102561500266,0.002397792766506172,0.003271071395865407,0.01629108657275416,0.02865048162911401,0.007080201977182839,0.007786790039247624,0.00312367159222241,Long,KO,wake
48,25.04,0.04479820562200815,0.01150389473893858,0.003957758444620928,0.03150193168292909,0.01369221500952067,0.004184369561186555,0.004141420032273634,0.02436846976425574,0.002009464408965309,0.005404266005561348,0.005402843375166485,0.0027122278231438,0.003392037854972228,0.0162741222919385,0.02501698841551906,0.00857364164894784,0.007599894640485323,0.003219995901726207,Long,KO,wake
49,25.5408,0.04409289450260111,0.01214687909036247,0.003709311624862146,0.0318799138562544,0.01360578007485068,0.004926742635727591,0.003827334162338443,0.0258600765441866,0.00178270114338754,0.005577182568053992,0.005507609581639041,0.003334471394678067,0.002982897698304579,0.01691585882304653,0.01964839558498705,0.008547000416498363,0.007571282922460871,0.003037816717133629,Long,KO,wake
50,26.0416,0.04226245348013358,0.01120999355723856,0.003712108364103087,0.03252083445290338,0.01312938173070653,0.005522290264523189,0.00378186842868934,0.02694818399319503,0.001663153522373897,0.005383444246536272,0.005860148533608244,0.004152090530554708,0.002554244379851691,0.01762235097884314,0.01539872110174129,0.008206657353139832,0.007112055723849436,0.003033482603598259,Long,KO,wake
51,26.5424,0.0406776207772007,0.01032497974521377,0.003618481513778143,0.03381589612303686,0.01222131287075817,0.005904718946849786,0.004273331199230964,0.02775271982263951,0.001561238381732517,0.004680516696289674,0.006871420884646677,0.004792933145380307,0.00259401229152484,0.01692855392579715,0.01254756885814151,0.007933698017094693,0.00705897513545208,0.003207774650934215,Long,KO,wake
52,27.0432,0.04251148233828159,0.01020705246452458,0.00366903843757119,0.03296740735321304,0.01194762679647568,0.006790445818550974,0.004357138447390134,0.02680117368070178,0.001414328760972968,0.004379681873546802,0.008963966731623446,0.004838748566901283,0.002984255563698736,0.015449937673597,0.01047573230159797,0.007531012004728399,0.006736487096604923,0.003373211386283164,Long,KO,wake
53,27.544,0.04549915070834269,0.009989814123905361,0.004129544782304023,0.03291125180269351,0.01240090174538312,0.005523822383971348,0.004467194128620885,0.02540438308584494,0.002179356411304952,0.004057342434866636,0.01130169052115606,0.00342879509897064,0.003508853031744492,0.01487074545885901,0.00971146653304935,0.007575130248407619,0.006695368891119825,0.003707060438014845,Long,KO,wake
54,28.0448,0.04486858315114366,0.01026766800632649,0.004685421385265632,0.03461782878965511,0.0123891143880442,0.004156871421136978,0.004651559168566442,0.02536918610368563,0.002567571802737185,0.004163730108277379,0.01072088934865108,0.002701068477255964,0.00427165729041532,0.01515638357278567,0.01029366691496271,0.008063280240281027,0.006782994409676301,0.004226046631257173,Long,KO,wake
55,28.5456,0.04345561856181521,0.01064558939016917,0.005277488395722718,0.03596476576106983,0.01206007293609877,0.004030488186243695,0.005439354046250664,0.02542358215658772,0.002489090438676115,0.004520137012575615,0.009483677661910321,0.002620446398154572,0.004497425038818741,0.01527843270942515,0.01041409952765281,0.007749084796129625,0.007379262949975863,0.004351258391597613,Long,KO,wake
56,29.0464,0.0454046450156492,0.01063317083764784,0.006198036360869092,0.03653993719415778,0.0125239278315757,0.004201353452167579,0.005428958182432393,0.025583132036625,0.002384651912404984,0.004602779604440898,0.008044614932516821,0.002887501434127715,0.003821056026025422,0.01513541671014097,0.01083356273171999,0.007389664565589853,0.007627854814150314,0.004071778529914095,Long,KO,wake
57,29.5472,0.04803794179244913,0.01117368293828968,0.00714899555169677,0.03782388133681353,0.01314667955434172,0.004049173073728496,0.005548117605243053,0.02474269411356472,0.002797556096710911,0.004677158957833432,0.006906433642535285,0.002571274094714395,0.003157113648683119,0.01571309906895184,0.01048635951837089,0.007540635606385907,0.007677020971747665,0.003976599329503372,Long,KO,wake
58,30.048,0.04744031127128304,0.01100919463032616,0.007375711545497328,0.04007250786521262,0.01375325772534777,0.004223816326964885,0.005183575622355659,0.02415013911851707,0.003228270760417582,0.004920535330848328,0.006175996685055992,0.002613642943941147,0.002512323401761073,0.01583831160545755,0.01083844093492443,0.007384279412311248,0.007939122789229855,0.004113074669869365,Long,KO,wake
59,30.5488,0.04937663182312941,0.01084986577044004,0.006898354318648933,0.04070343761723546,0.01451114512939969,0.004478244790795487,0.005367685969026812,0.02481403053292048,0.002899747397314441,0.00500284854696135,0.005956032725474156,0.002480761286689412,0.00200461348709688,0.01518845174590434,0.01284096551821244,0.00789216845387434,0.008334996759311914,0.00422389529995358,Long,KO,wake
60,31.0496,0.04739178156137955,0.01082815430969819,0.007289939862295301,0.04162032325085462,0.01485468815764972,0.00409985360524712,0.005157372293268244,0.02522478176208369,0.002381339740729951,0.005184361534778828,0.00598199271673115,0.002190297237446656,0.001850233888061789,0.01442197415596658,0.01407291925124123,0.007623028518550025,0.008155236488004442,0.004657005040078105,Long,KO,wake
61,31.5504,0.05033240094857674,0.0111209009307558,0.007814763955856516,0.04255685581503833,0.014381235172947,0.004458399503728241,0.004862789459113695,0.02426942446782706,0.002912290752866042,0.005636080740541424,0.006145700619956922,0.002565526713744503,0.001727823445864861,0.01423124544998398,0.01283544743850877,0.007715022006860603,0.008194237269530657,0.003892703411096456,Long,KO,wake
62,32.0512,0.05305752822437676,0.01036380711147457,0.008255598643213126,0.04326630256419776,0.01505389109038376,0.004829767604592986,0.00458486418439361,0.02425985998106006,0.002389049589367614,0.006108852147110137,0.005959556735746694,0.00230834901490053,0.001974307088337184,0.01501978514147761,0.01201744714190712,0.008756111742942312,0.007911069388505875,0.004134289258284143,Long,KO,wake
63,32.552,0.05232098647831277,0.009614097718446455,0.007956211756874321,0.04407739156236013,0.01567937491829981,0.004498957454445182,0.004732831744489961,0.02501794192752406,0.002969290049120494,0.00657105848904565,0.005562103926892745,0.002115705085357215,0.001973935627693726,0.01461387526798639,0.01131128159888242,0.01054578479664907,0.007853939079079903,0.004810894830815198,Long,KO,wake
64,33.0528,0.05190941746601978,0.00976140035617215,0.007724823506691278,0.04490449933762257,0.01618905885842107,0.004334733423671635,0.004737982053364657,0.02575586570911395,0.003504116884873678,0.006054986623813942,0.006357001588657554,0.002388731176450254,0.002347223531411419,0.01386811616974466,0.0108107904347938,0.01168044136560335,0.008031797752843258,0.004575712710580053,Long,KO,wake
65,33.5536,0.05075670870494517,0.008886874703733075,0.00808369429429051,0.04605333642009176,0.01537935323111936,0.004587017392033901,0.004509576273187114,0.02517035700565741,0.003546830066637742,0.006180084241907972,0.006471462003012746,0.002651930662513597,0.002447441676578405,0.01420978027224232,0.01032273365161052,0.01236803046171614,0.008591133623929333,0.004068829732921572,Long,KO,wake
66,34.0544,0.04701162865718004,0.008617831800586114,0.007484679060787487,0.0463994426802696,0.01548893965251736,0.004303916039237647,0.004335954583086673,0.02537711717323571,0.003852781843007825,0.006229011678344836,0.006172218149395625,0.00257585695128344,0.002683329525985066,0.01358632918601483,0.009077584804093491,0.01198263913276643,0.007694262207004861,0.003632535316206228,Long,KO,wake
67,34.5552,0.04529119849325065,0.009072183418770132,0.00727379827524252,0.04755961453614056,0.0157651641401135,0.004035509925695988,0.004289821534028128,0.02681661016888617,0.004357938688272785,0.005835436968918523,0.005949452614007043,0.002608322141184365,0.002678853738162658,0.01343676579501906,0.00822730947151051,0.01131605369584464,0.00735770455586191,0.003809329244410214,Long,KO,wake
68,35.056,0.04494177797751137,0.00866390065249967,0.008015589153392696,0.04830346085575462,0.01569827957594159,0.004437557544621419,0.004442369747348042,0.02638013942056019,0.005116664463628959,0.005446000752938678,0.006189893935155103,0.002721579535252912,0.002498726660647268,0.01379060910446789,0.007917043267005791,0.01167212762385045,0.007508401512332439,0.003623752805104596,Long,KO,wake
69,35.5568,0.04565937946858138,0.007689890151553911,0.008106823671987074,0.04880319739852887,0.01522107324787224,0.004380018059939278,0.004428052598949966,0.02511175156133321,0.006401269018134821,0.005330700909992001,0.005985426628655289,0.002743988883378454,0.002119737351615264,0.0128461026587752,0.007090196783577606,0.01071373897350642,0.00769477679345509,0.003140250729971386,Long,KO,wake
70,36.0576,0.04523156365649792,0.007721677892783586,0.008324335137134473,0.05015685044619403,0.01517962150956456,0.004332008156643245,0.004190541388222675,0.02378360193394173,0.007091879539555482,0.004699154520653611,0.006135926028049925,0.002428096315511838,0.001751838002895812,0.01220017914131745,0.005945428268815506,0.01077676316435407,0.007320986849270133,0.003205948931954137,Long,KO,wake
71,36.5584,0.04522306718208522,0.007469033563503637,0.008693277685186653,0.05119323763122512,0.01516282581555683,0.003641347201244555,0.003944580240383432,0.02259651511639674,0.008334164017126307,0.0040803710036891,0.00590069492016443,0.002157381133818751,0.002065064740203903,0.01163601342412295,0.004880642445945231,0.01103771471810469,0.006698889548513629,0.002755292300322816,Long,KO,wake
72,37.0592,0.04593280922252141,0.006623809831038485,0.008913315217939026,0.05007832302695379,0.01583392582677638,0.003155264708440048,0.004116868561254558,0.02221490674628762,0.007056548892108864,0.003931722441483048,0.0056011005097027,0.001645817593647684,0.001811139709926999,0.01144859563050366,0.004261955838807147,0.01008998975374966,0.00635384040523788,0.002580547676391164,Long,KO,wake
73,37.56,0.04446914614635102,0.006563165012232419,0.008759119676637115,0.04884933416775895,0.01542071142133602,0.002703774044529826,0.004229148918257864,0.02199091398180289,0.007455339755356208,0.003599873564364801,0.005325284123743838,0.001595229149906461,0.001508732761955976,0.01107893670758322,0.004246808604006058,0.009679660641722312,0.006533473590022426,0.002521281896358405,Long,KO,wake
74,38.0608,0.04201146223770763,0.006351268842783023,0.009158049905078581,0.04838021382823345,0.01478565039551964,0.0025522724517093,0.004180347603373995,0.02230995817179601,0.008269430028220417,0.003261833981916358,0.005392492759858264,0.001611346915412482,0.001618843017595521,0.01062833153389996,0.004663565338623608,0.008974699810243117,0.006028554810182923,0.001841120222605885,Long,KO,wake
75,38.5616,0.0409997753530249,0.005778975525348932,0.008506269752756996,0.04689099940241176,0.01548987154561693,0.002352243402824,0.004260358961716736,0.02215072460891939,0.008820023195748785,0.003184143637667054,0.005532946897300738,0.001571711219738223,0.001661556778839999,0.009976856399897559,0.004619964043570769,0.008315011743679943,0.005537709700607114,0.001911035939022468,Long,KO,wake
76,39.0624,0.04226050553641239,0.005856594134296293,0.007616993743918636,0.04685490550265745,0.01616463031347337,0.002383941548302004,0.003850467073219712,0.02216169505178625,0.007365119118945125,0.002773917842733407,0.005839310605638371,0.001397708472949971,0.001932580646744052,0.009982342935336676,0.004279604680184671,0.008531917754687835,0.005236358452672112,0.001848648592788124,Long,KO,wake
77,39.5632,0.04142721141878238,0.006048583524092255,0.008196946817893576,0.04730822671513708,0.01608981830088928,0.002396915163944489,0.004041602535857198,0.0229176754940928,0.008285076209579106,0.002775268381896617,0.006062623897201921,0.001383001979398939,0.002319682426173025,0.009605825462529102,0.004279686774332338,0.008145647541306155,0.004856869404478101,0.00185492595227851,Long,KO,wake
78,40.064,0.03983467750545285,0.006016456779505366,0.008483884804877575,0.04562610387915653,0.01647184865884701,0.002350701300428697,0.004502672778961788,0.02280176203302956,0.007786865567247309,0.003370323699308873,0.006132496778343727,0.001221099998814809,0.002480265287702015,0.008916584330922834,0.004106312787432187,0.007062004555995101,0.005192939680820289,0.001653611789836956,Long,KO,wake
